1_hanzi,2_pinyin,3_meaningList,4_frequency,5_hsk_level,6_traditional
毛病,máobìng,"trouble, mishap, breakdown, defect, shortcoming, fault, mistake, illness",982,3,毛病
没用,méi yòng,useless,665,3,沒用
媒体,méitǐ,"mass media, media, medium",1357,3,媒體
每,měi,det.: every,10154,3,每
美,měi,"beautiful, pretty",7200,3,美
美好,měihǎo,"fine, happy, glorious",2237,3,美好
美丽,měilì,beautiful,2544,3,美麗
美食,měishí,"cate, luxury, good food, delicious food, fleshpot",200,3,美食
美术,měishù,"constructivism, beaux arts, beaux-arts, artistic production, artistic creation, painting, fineart, fine_art, cubism, art, fine arts",108,3,美術
美元,měiyuán,m.[standard],4701,3,美元
迷,mí,"to bewilder, crazy about, fan, enthusiast, lost, confused",1399,3,迷
米,mǐ,"rice, shelled/husked seed",3034,3,米
面对,miànduì,"face up, stand up, face, look_out_on, confront, front, affront, envisage, accost, breast",2891,3,面對
面积,miànjī,"area unit, area, superficies, superficial, acreage, expanse, surface_area, square_measure, surface area, content, space, square measure",101,3,面積
民间,mínjiān,"grass roots, people-to-people, nongovernmental, among the people, folk, popular",103,3,民間
民族,mínzú,"tribe, citizenry, ethnos, ethnic minority/group, race, nationality, group, Volk, nation, folk, people, ethnic group, ethnographer, family, ethnic minority",257,3,民族
明确,míngquè,"define, make clear/definite, make definite, definite, make clear",552,3,明確
明显,míngxiǎn,"clear, obvious",3306,3,明顯
命运,mìngyùn,"foredoom, lot, appointment, lottery, fortune, chance, dole, circumstances, allotment, predestination, cup, luck, fare, destiny, portion, kismet, fate, doom, line, fatality, weird, hazard, karma",1656,3,命運
某,mǒu,"det.: some, certain",2512,3,某
母亲,mǔqīn,"venter, materfamilias, mother, mither, sultana, maternal, female parent, mater",6195,3,母親
木头,mù tou,"slow-witted, blockhead, log (of wood, timber etc), CL:塊|块[kuai4],根[gen1]",455,3,木頭
目标,mùbiāo,"polestar, objective, goal, bourn, object, meaning, aim, end point, target, cause, landmark, butt, lodestar, bull's eye, mark, tee, cynosure, end, bell ringer, loadstar, quaesitum, destination",4123,3,目標
目前,mù qián,"at the present time, currently",2798,3,目前
奶茶,nǎi chá,milk tea,14,3,奶茶
男子,nánzǐ,"man, male",586,3,男子
南部,nánbù,"meridional, the southern part of the country, southern part, South, south, the south",346,3,南部
难道,nándào,Do you really mean to say that...,5875,3,難道
难度,nán dù,"trouble, problem",346,3,難度
内,nèi,inside,6436,3,內
内容,nèiróng,"subject_matter, content, cognitive content, internal, contents, mental object, meat, substance, matter, lining",1332,3,內容
内心,nèixīn,"interior, inner being, conscience, inside, breast, bosom, innermost being, incenter, heart",1444,3,內心
能不能,néng bùnéng,Can you,741316,3,能不能
能力,nénglì,"department, potency, ability, acquisition, acquirement, capacity, performance, oomph, sufficiency, energy, competence, accomplishment, size, might, faculty, hand, coequal, efficiency, inner resources, capability, giftie, attainment, capableness, zip, skill, competency, power",4136,3,能力
年初,niánchū,beginning of year,13,3,年初
年代,nián dài,"a decade of a century (e.g. the Sixties), age, era, period, CL:個|个[ge4]",1611,3,年代
年底,nián dǐ,"the end of the year, year-end",32,3,年底
年纪,niánjì,"years, old age, age",1237,3,年紀
念,niàn,"study, read, attend school, think_of, read aloud, think of, miss",1264,3,念
牛,nióu,"ox, cattle, cow",1990,3,牛
农村,nóngcūn,"country, village, countryside, rural area",56,3,農村
农民,nóngmín,"mujik, farmhand, granger, boor, farm worker, peasantry, countrymen, farmer, agriculture, husbandman, muzhik, peasant, fieldhand, moujik, fellah, muzjik",245,3,農民
农业,nóngyè,"farm, farming, geoponics, husbandry, agricultural, plow, agriculture",101,3,農業
女子,nǔzǐ,"lady, female, femme, young lady, adult female, missy, young woman, fem, moll, womankind, fille, damsel, girl, miss, woman, wren, blade",706,3,女子
暖和,nuǎn huo,"warm, nice and warm",260,3,暖和
怕,pà,"I'm afraid, dread, funk, I suppose, be afraid of, fear",4395,3,怕
拍,pāi,"clap, pat, lick sb.'s boots",7076,3,拍
排,pái,"stand in line, arrange, put in order, sequence",2015,3,排
排名,páimíng,put names in order,204,3,排名
牌子,pái zi,"sign, trademark, brand",422,3,牌子
派,pài,"send, dispatch, assign, appoint",6001,3,派
判断,pànduàn,"judge, determine",858,3,判斷
胖,pàng,"fat, stout, plump",1209,3,胖
跑步,pǎo bù,"to run, to jog, (military) to march at the double",344,3,跑步
配,pèi,"match, find sth. to fit/replace sth. else, deserve, be worthy of, be qualified, compound, mix",1909,3,配
配合,pèihé,"coordinate, cooperate",706,3,配合
批评,pīpíng,criticize,442,3,批評
批准,pī zhǔn,"to approve, to ratify",640,3,批准
皮,pí,"skin, leather, hide, wrapper, surface, thin/flat pieces/sheets, rubber",2173,3,皮
皮包,pí bāo,"handbag, briefcase",140,3,皮包
啤酒,píjiǔ,"malt liquor, malt, suds, nappy, wallop, beery, malt_liquor, stout, barley-bree, brewage, beer",2310,3,啤酒
票价,piào jià,"ticket price, fare, admission fee",35,3,票價
评价,píngjià,"estimate, diagnoses, appraisal, mark, rating, rate, value, assessment, esteem, image, estimation, valuation, appraisement, opinion, rank, remark, evaluation",823,3,評價
苹果,píngguǒ,"mincemeat, pome, apple, Empire",766,3,蘋果
破,pò,"tear, split up, defeat, expose, eradicate, lay bare, cleave, expose the truth of, worn-out, break with, come apart, destroy, capture (city/etc.), defeat (enemy), broken, expose (lie/etc.), destruction, cut, separate, tattered, reveal truth, fall apart, beat, capture, split, not intact, rupture, get rid of, do away with, break",2859,3,破
破坏,pòhuài,"violate, destroy",2423,3,破壞
普遍,pǔbiàn,"universal, general, widespread, common",126,3,普遍
普及,pǔjí,"popularize, disseminate, spread",14,3,普及
期,qí,m.[event],1087,3,期
齐,qí,"complete, prepared, together",727,3,齊
其次,qícì,"conj.: next, second",341,3,其次
其实,qíshí,"as a matter of fact, actually, in fact",7067,3,其實
奇怪,qíguài,wonder,5833,3,奇怪
气候,qìhòu,"situation, clime, climatic, climate, weather, climactic",156,3,氣候
千万,qiānwàn,by all means; absolutely,1568,3,千萬
前后,qiánhòu,"front and rear, around or about, altogether",137,3,前後
前进,qiánjìn,go forward,1321,3,前進
前面,qiánmiàn,"front end, face, forepart, front, in front, ahead, preceding, above, fore, forgoing, frontage, obverse",2158,3,前面
前往,qiánwǎng,"depart, cruise, go_to, go, leave, go to, proceed to, pay, seek, leave for",834,3,前往
强,qiáng,"strong, powerful, vigorous, better, slightly more than, plus",4814,3,強
强大,qiángdà,"big and powerful, formidable",1285,3,強大
强调,qiángdiào,"underscore, spotlight, place emphasis on, point_up, highlight, point, point up, enforce, emphasise, urge, underline, overstress, give emphasis to, play up, keynote, insist, punctuate, accent, betone, foreground, emphasize, emphatic, stress, set off, overemphasize, accentuate, bring out",252,3,強調
强烈,qiángliè,"strong, intense, violent",821,3,強烈
桥,qiáo,"backbend, fret, span, pons, pier arch, bridge, spar",1074,3,橋
巧,qiǎo,"clever, intelligent, skillful, ingenious, artful, deceiving, pretty, cute, opportune, fortuitous, coincidental",694,3,巧
亲,"qīn, qìng","parent, one's own (flesh and blood), relative, related, marriage, bride, close, intimate, in person, first-hand, in favor of, pro-, to kiss, (Internet slang) dear, parents-in-law of one's offspring",2180,3,親
亲切,qīnqiè,"cordial, genial, warm",174,3,親切
亲人,qīnrén,"those dear to one, one's parents, spouse, children, etc., one's family members, dear ones, relative, close relatives, folks",513,3,親人
亲自,qīnzì,"personally, in person, firsthand",1412,3,親自
情感,qínggǎn,"affect, friendship, sensibility, bond, emotion, bosom, breast, sentiment, emotional, chasm, feeling, feelings",805,3,情感
情况,qíngkuàng,"event, things, state of affairs, circumstantiality, case, circumstances, way, plight, experimental condition, streak, military situation, matter, condition, mood, circumstance, context, occasion, thing, instance, affair, shape, situation, juncture, consideration",10673,3,情況
请教,qǐngjiào,"consultation, Please enlighten me., seek advice, take counsel, consult, ask, ask for advice",82,3,請教
庆祝,qìngzhù,"fete, celebration, keep, festive, commemorate, celebrate, observe, rejoice, felicitate",1878,3,慶祝
球迷,qiú mí,"fan (ball sports), CL:個|个[ge4]",289,3,球迷
区,"Oū, qū","surname Ou, area, region, district, small, distinguish, CL:個|个[ge4]",3198,3,區
区别,qū bié,"difference, to distinguish, to discriminate, to make a distinction, CL:個|个[ge4]",1152,3,區別
取消,qǔxiāo,"cancel, abolish, nullify",1908,3,取消
去世,qùshì,"die, pass away",1567,3,去世
全场,quán chǎng,"everyone present, the whole audience, across-the-board, unanimously, whole duration (of a competition or match)",169,3,全場
全面,quánmiàn,"overall, comprehensive, all-round, all-out",440,3,全面
全球,quánqiú,"global, whole world",790,3,全球
缺,quē,"be short of, lack",744,3,缺
缺点,quēdiǎn,"privilege, bug, failing, flaw, demerit, blemish, debit, limitation, mar, defect, glitch, foible, infirmity, blot, vice, drawback, disadvantage, imperfection, blemishment, weakness, tache, defection, shortcoming, malady, frailty, fault",289,3,缺點
缺少,quēshǎo,"lack, be short of",377,3,缺少
确保,quèbǎo,"secure, insure, ensure, assure, reassure, guarantee",1833,3,確保
确定,quèdìng,"find, determination, make a point, pin down, narrow down, corroborate, prove, jell, settle, express, ensure, clench, assure, confirm, decide firmly, see, certain, define, clinch, nail_down, ascertain, determinate, guarantee, nail down, insure, fix, nail, peg, sustain, state, stipulate, secure, make_sure, seal, make sure, verify, find out, affirm, determine",9889,3,確定
确实,quèshí,"really, certainly, truly, indeed",7630,3,確實
裙子,qún zi,"skirt, CL:條|条[tiao2]",1163,3,裙子
群,qún,m.[general],2903,3,群
热爱,rèài,love ardently,520,3,熱愛
热烈,rèliè,ardent,377,3,熱烈
人才,réncái,"talent, capable person, a talented person, qualified personnel, a person of ability",443,3,人才
人工,réngōng,"man-made, artificiality, manual work, manpower, art, labor",204,3,人工
人类,rénlèi,"man, wight, human_being, human, human race, mankind, individual, human species, Homo_sapiens, populace, creature, hominid, world, mortality, microcosm, humans, humanitarianism, humanity, humanness, human beings/species, people, species, humankind, human beings, public, mortal",3857,3,人類
人民,rénmín,"multitude, citizen, quarter, Volk, hoi polloi, subject, people, nationals, masses, the people, mass, demotic",1661,3,人民
人民币,rénmínbì,"RMB, PRC currency",6,3,人民幣
人群,rénqún,"multitude, scrooge, herd, ruck, scrouge, meiny, crowd, troop, confluence, drove, throng, flock, gang",622,3,人群
人生,rénshēng,"lifetime, life, lifespan, human life, time of life",2852,3,人生
人员,rényuán,"strength, personnel, force, staff",2781,3,人員
认出,rèn chū,"recognition, to recognize",876,3,認出
认得,rèn de,"to recognize, to remember sth (or sb) on seeing it, to know",355,3,認得
认可,rèn kě,"to approve, approval, acknowledgment, OK",268,3,認可
任,rèn,"serve in a position, appoint to a position",917,3,任
任何,rènhé,"aught, det.: any",14918,3,任何
任务,rènwù,"imperative, assignment, cue, duty assignment, task, service, chore, labor, errand, job, lookout, undertaking, mission, military mission, duty, project, role",4929,3,任務
仍,réng,"yet, anyway, still",1886,3,仍
仍然,réngrán,"still, yet",2922,3,仍然
日常,rì cháng,"daily, everyday",297,3,日常
容易,róngyì,easy,5146,3,容易
如何,rúhé,how,10879,3,如何
散步,sànbù,take a walk,596,3,散步
沙发,shāfā,"lounge, settee, sofa",908,3,沙發
沙子,shā zi,"sand, grit, CL:粒[li4],把[ba3]",267,3,沙子
伤,shāng,"injure, wound, fall ill from, damage, harm",4709,3,傷
伤心,shāngxīn,"injure, offend, broken-hearted, be sad, pierce, hurt, grieved, sad, spite, aggrieve, grieve, be grieved, sadden, smart, wound",1711,3,傷心
商品,shāngpǐn,"article, product, merchandise, commodity, wares, ware, goods",259,3,商品
商业,shāngyè,"business enterprise, commercial, people, mercantilism, commercial pursuit, commercial enterprise, business sector, merchantry, trade, mercantile pursuit, business, commerce",680,3,商業
上来,shànglái,"come_up, come up",522,3,上來
上面,shàngmiàn,"surface of, aspect, higher authority, upper side, the higher authorities, on top/surface of, on surface of, top, the higher-ups, top side, upside, on top of, respect, above, on top, regard",5363,3,上面
上去,shàng qù,to go up,1973,3,上去
上升,shàngshēng,rise,446,3,上升
上衣,shàng yī,"jacket, upper outer garment, CL:件[jian4]",373,3,上衣
设备,shèbèi,"installation, set, device, appointment, plant, fixing, system, appliance, fixture, fitting, accommodation, fitment, finishing, unit, furnishings, materiel, contrivance, paraphernalia, facilities, rig, equipage, setout, facility, fixings, equipment",1107,3,設備
设计,shèjì,"design, plan",2558,3,設計
设立,shèlì,"establish, found",169,3,設立
社会,shèhuì,"community, society, monde, social, public",1805,3,社會
身份证,shēn fèn zhèng,"identity card, ID",469,3,身份證
深,shēn,"deepen, penetrating, profound, deep, dark",2324,3,深
深刻,shēnkè,"deep, profound",851,3,深刻
深入,shēnrù,"thorough, deep-going",442,3,深入
升,shēng,"litre, raise variant of 升[sheng1]",884,3,陞
生,shēng,"give birth to, bear, grow, get, have, cause to happen, make (a fire), exist, live",5816,3,生
生产,shēngchǎn,"produce, manufacture",493,3,生產
生存,shēngcún,"live, exist",1040,3,生存
生动,shēngdòng,"lively, moving, vivid, lifelike",139,3,生動
生命,shēngmìng,"breath, god, head, anima, days, organism, blood, life, living thing, skin, longevity, being, vital, life form",5898,3,生命
生意,shēngyì,"business enterprise, vocation, practice, merchant, dealing, patronage, deal, commercial enterprise, trade, biz, business, dealings, racket",3546,3,生意
生长,shēngzhǎng,"grow, develop",285,3,生長
声明,shēngmíng,"statement, pronouncement",635,3,聲明
胜,shèng,"be superior to, surpass, succeed, win victory, be victorious, get the better of, can bear, carry, excel, be successful, win",1182,3,勝
胜利,shènglì,win victory/success,1769,3,勝利
失去,shīqù,"desert, shear, outgrow, loss, lost, miss, lose",6314,3,失去
石头,shítou,"stony, chimney, rock, lapis, stone",1405,3,石頭
石油,shíyóu,"crude, rock oil, crude oil, oil, coal oil, fossil_oil, fossil oil, petroleum",505,3,石油
时,shí,"time (when), period, hour",23472,3,時
时代,shídài,"day, period, a period in one's life, epoch, present time, historical period, time, chapter, period in one's life, modern times, historic period, contemporary world, times, era, modern world, age",1544,3,時代
时刻,shíkè,"moment, occasion, juncture, sand, hour, time",2363,3,時刻
实际上,shí jì shàng,"in fact, in reality, as a matter of fact, in practice",4410,3,實際上
实力,shílì,"strength, actual strength, efficiency",581,3,實力
实行,shíxíng,"put into effect, fulfil, put ... into practice, practise, practice, put into practice/effect, live, pass, obtain, prosecute, cause, phase, meet, carry_out, pull, effect, operate, carry out, actualize, use, effectuate, put ... into effect, perform, apply, put into practice, run, implement, execute, do, make, wage, implementation",188,3,實行
实验,shíyàn,"experiment, test",1083,3,實驗
实验室,shíyànshì,"lab, science lab, laboratory",1853,3,實驗室
食品,shípǐn,"menu, vivers, viand, chow, eatable, provisions, tuck, foodstuff, viands, nourishment, comestible, tack, nutrient, victual, food, grocery, victualage, cuisine",680,3,食品
使,shǐ,"rarefy, piss_off, germinate, drench, blow_out, leave, cut_up, refract, run, dress_up, compose, shed, frizz, put_off, trot, send, strike, send (as envoy), peal, alienate, pull_in, tone_up, bring around, astound, sublease, wither, cripple, bed_down, address, rehearse, usage, warm, smell_out, throw, inflect, get_down, skunk, capsize, congeal, bowl_over, bring_on, unseat, ensure, amalgamate, pro",4915,3,使
始终,shǐzhōng,"all_the_time, from beginning to end, from start to finish, always, all along, evermore, throughout",480,3,始終
世纪,shìjì,"one C, centred, C, century, age, hundred, 100",1199,3,世紀
世界,shìjiè,"mundane, creation, world, monde, orb, nature, domain",11721,3,世界
世界杯,Shì jiè bēi,World Cup,67,3,世界杯
市场,shìchǎng,"bourse, bazar, marketplace, grocery store, agora, bazaar, securities industry, grocery, piazza, plaza, rialto, mart, pitch, market",1078,3,市場
事故,shìgù,"circumstance, trouble, mischance, accident, mishap, affair, bad luck, natural event, happening, occurrence",1437,3,事故
事件,shìjiàn,"fact, event, page, incidental, go, case, job, natural event, timing, proceedings, social occasion, happening, occurrence, matter, occasion, incident, shebang, affair, chapter, concernment",2774,3,事件
事实,shìshí,"mood, circumstance, fact, factual, reality, verity, case, deed, sooth, troth, actuality, truth, matter, matter of fact",5029,3,事實
事实上,shì shí shàng,"in fact, in reality, actually, as a matter of fact, de facto, ipso facto",5461,3,事實上
事业,shìyè,"proposition, task, pidgin, institution, undertaking, deed, facilities, life history, endeavour, endeavor, cause, career, project, action, enterprise",1634,3,事業
试题,shì tí,"exam question, test topic",21,3,試題
试验,shìyàn,"test, experiment",857,3,試驗
适合,shìhé,"qualify, conform, fit, go, befit, quadrate, will, accord, tailor, beseem, serve, comport, gee, answer, become, fit_in, service, pertain, like, accommodate, agree, belong, characterize, make, suit, match",2736,3,適合
适应,shìyìng,"be accustomed to, conform, be used to, fit, humor, gear, orient, phase, adjust, accommodate, be accustomed, be inure to, get used to, adaptation, adapt, suit",926,3,適應
适用,shìyòng,"applicable, lend oneself, apply, be applicable, suit",194,3,適用
室,shì,"surname Shi, room, work unit, grave, scabbard, family or clan, one of the 28 constellations of Chinese astronomy",2526,3,室
收费,shōufèi,"collect fees, charge",248,3,收費
收看,shōukàn,"watch, tune in, watch (e.g., receive, look in, watch (e.g., TV), tune into, TV)",528,3,收看
收听,shoū tīng,"to listen (to), to listen (in)",101,3,收聽
收音机,shoū yīn jī,"radio, CL:臺|台[tai2]",460,3,收音機
手续,shǒuxù,"formality, procedures, formalities, procedure",198,3,手續
手指,shǒuzhǐ,finger,1004,3,手指
首都,shǒudū,capital (of country),284,3,首都
首先,shoǔ xiān,"first (of all), in the first place",3624,3,首先
受,shòu,passive signifier,7756,3,受
受伤,shòushāng,"injure, bruise, injured, be wounded, crush, hurt, sustain an injury, be injured, wounded, maimed, wound",2842,3,受傷
书架,shū jià,"bookshelf, CL:個|个[ge4]",57,3,書架
输,shū,"lose, be defeated",3138,3,輸
输入,shūrù,"import, input",362,3,輸入
熟人,shú rén,"acquaintance, friend",238,3,熟人
属,shǔ,"belong, be born in the year of, belong to, be subordinate to, be",291,3,屬
属于,shǔyū,"fall under, be part of, pertain, appertain, belong, relegate, fall into, belong_to, fall_under, reside, belong to, attach",2827,3,屬於
束,shù,"surname Shu, to bind, bunch, bundle, classifier for bunches, bundles, beams of light etc, to control",283,3,束
数量,shùliàng,"magnitude, scalar, aggregate, deal, measure, numerical quantity, measurement, sum, worth, amount, quantity, number",424,3,數量
双,shuāng,m.[general],3384,3,雙
双方,shuāngfāng,"both, the two parties, two parties, both sides",424,3,雙方
思想,sīxiǎng,"cogitation, mentation, imagery, imaging, lunatic_fringe, mental imagery, idea, thinking, imagination, ideology, thought, pensee, ideological",956,3,思想
死,sǐ,die,44056,3,死
速度,sùdù,"pacing, wings, rate, quickness, fastness, velocity, swiftness, lick, pace, rapidity, speed, career, tempo",1433,3,速度
随,suí,v.2 right after v.1,2000,3,隨
所,suǒ,that which,19715,3,所
所长,suǒzhǎng,head of an institute/etc.,34,3,所長
台,tái,short for Taiwan,3604,3,台
谈,tán,"talk, chat",11653,3,談
谈话,tánhuà,"talk, speech",2023,3,談話
谈判,tánpàn,"negociate, treat, talks, negotiation, negotiate, talk terms, parley, palaver, negotiations, imparl",682,3,談判
汤,tāng,"hot/boiling water, hot springs, soup, broth",1007,3,湯
糖,táng,"refined sugar, carob bar, negus, sugar, candy, carbohydrate, sweets",1530,3,糖
特色,tèsè,"motif, a character, a characteristic, manner, trait, differentiation, flavor, colour, singularity, distinction, characteristic, hue, stripe, physiognomy, a distinguishing feature, idiom, specialty, character, difference, particular, distinguishing feature, distinguishing feature/quality, salience, coloration, distinguishing quality, specific, feature, peculiarity, artistic st",230,3,特色
提前,tíqián,"counter, foresee, shift to an earlier date, set ahead, advance date, advanced, advancement, move up, anticipate, advance, forestall",872,3,提前
提问,tí wèn,"to question, to quiz, to grill",316,3,提問
题目,tímù,"exam questions, head, lemma, theme, thesis, examination questions, question, text, title, ground, subject, topic, exercise problems, chapter, caption, rubric, heading",188,3,題目
体会,tǐhuì,"know/learn from experience, realize",494,3,體會
体现,tǐ xiàn,"to embody, to reflect, to incarnate",222,3,體現
体验,tǐyàn,learn through practice/experience,638,3,體驗
天空,tiānkōng,"firmament, heavenly, empyrean, heavens, welkin, blue, canopy, cloud, the heavens, vault, air, sky, the sky, Aether, wild blue yonder, blue air, heaven, blue sky, space",741,3,天空
甜,tián,"sweet, agreeable",4400,3,甜
调整,tiáozhěng,"adjust, readjust, regulate, restructure, balance",609,3,調整
跳,tiào,"ricochet, make omissions, sell grain, vault, hop, bounce, bound, omission, omit, palpitate, move up and down, skip over, beat, take, spring, skip, dance, hurdle, skip (over), jump, leap",8496,3,跳
跳高,tiào gāo,high jump (athletics),13,3,跳高
跳舞,tiàowǔ,"hop, trip the light fantastic, trip, cakewalk, dancing, dance, saltate, hoof, step",3459,3,跳舞
跳远,tiào yuǎn,long jump (athletics),5,3,跳遠
铁,tiě,"shovel, smoothing iron, iron, ferrous, arms, Surname, Fe, ferrum, spade, weapon",941,3,鐵
铁路,tiělù,"rails, railroad track, loop-line, rail, Pullman, railway, road, couchette, chemmy, railroad",243,3,鐵路
听力,tīng lì,"hearing, listening ability",111,3,聽力
听众,tīngzhòng,"auditor, listener, hearer, audience, auditory, gallery, listeners",257,3,聽眾
停止,tíngzhǐ,"cease, flunk, desist, pass, suspend, stint, pass_off, break_up, stash, cut, stay, cessation, adjourn, rain_out, give, detain, blow_over, seize, give up, balk, cheese, abstain, refrain, knock_off, rest, abandon, break, knock off, drop, go, tie_up, stop, interdict, strike, lay_off, stow, cut off, discontinue, pause, leave_off, leave off, set aside, give_out, cut_out, give_up, delay, quit, cut out",2856,3,停止
通常,tōngcháng,"normal, commonly, customarily, more often than not, general, usual, on average, as a rule, ordinarily, mostly, as usual, typically, generally, normally, by and large, unremarkably, on the average, usually",2316,3,通常
通信,tōngxìn,"communicate by letter, correspond",317,3,通信
同意,tóngyì,"agree, consent, approve",5759,3,同意
痛,tòng,"ache, pain",2186,3,痛
痛苦,tòngkǔ,be painful; pain,3648,3,痛苦
头,tóu,"head, hair (style), top/end of sth., chief",11582,3,頭
头脑,tóunǎo,"pericranium, leader, head, noggin, brain, brains, main threads, clue, nous, loaf, bean, psyche, headpiece, mind, pate, skull",935,3,頭腦
突出,túchū,outstanding,255,3,突出
突然,túrán,"suddenly, presto, unexpectedly, abruptly, at once, all_at_once, all together, all of a sudden, all at once",4366,3,突然
图,tú,"picture, drawing, chart, map",1160,3,圖
图画,tú huà,"drawing, picture",84,3,圖畫
土,tǔ,"soil, earth, clay, land",772,3,土
团,tuán,m.[proximation],1076,3,團
团结,tuánjié,"unite, rally",531,3,團結
团体,tuántǐ,"fraternity, sect, phalanx, collective, body, group, sodality, element, organisation, corporation, confession, college, establishment, brotherhood, community, organization, squad, union, administration, society, army, commonwealth, consort, company, lineup, combine, governance, clan, combination, fellowship, organizational, bloc, team, party, connection, family, brass, squadron",522,3,團體
推动,tuīdòng,"push forward, promote",135,3,推動
推广,tuīguǎng,"popularize, spread, extend",118,3,推廣
推进,tuī jìn,"to impel, to carry forward, to push on, to advance, to drive forward",282,3,推進
推开,tuī kāi,"to push open (a gate etc), to push away, to reject, to decline",132,3,推開
退,tuì,"retreat, retire, decline, ebb",1593,3,退
退出,tuìchū,"withdraw from, quit",1322,3,退出
退休,tuìxiū,"to retire, to go into retirement, to step down",879,3,退休
外交,wàijiāo,"diplomatics, diplomatic negotiations, diplomacy, nonintervention, diplomatism, diplomatic, foreign affairs",218,3,外交
外面,wàimiàn,"surface, outward appearance, without, outside, exterior",5603,3,外面
外文,wài wén,foreign language (written),7,3,外文
完美,wánměi,"perfect, consummate",4134,3,完美
完善,wánshàn,"perfect, consummate",123,3,完善
完整,wánzhěng,"complete, integrated, intact",690,3,完整
玩具,wánjù,"yo-yo, bauble, plaything, toy, teether, knickknack",1276,3,玩具
往往,wǎngwǎng,"oftentimes, ofttimes, always, more often than not, frequently, oft, often",237,3,往往
危害,wēi hài,"to jeopardize, to harm, to endanger, harmful effect, damage, CL:個|个[ge4]",244,3,危害
危险,wéixiǎn,"dangerous, perilous",5711,3,危險
为,wéi,by,45565,3,為
围,wéi,"surname Wei, to encircle, to surround, all around, to wear by wrapping around (scarf, shawl)",607,3,圍
伟大,wěidà,"great, mighty",2504,3,偉大
卫生,wèishēng,"hygiene, health, sanitation",422,3,衛生
卫生间,wèi shēng jiān,"bathroom, toilet, WC, CL:間|间[jian1]",342,3,衛生間
为了,wèi le,"in order to, for the purpose of, so as to",18274,3,為了
温暖,wēnnuǎn,warm,589,3,溫暖
文化,wénhuà,"civilization, literacy, acculturation, Kultur, vandalism, cultural, education, schooling, culture",752,3,文化
文件,wénjiàn,"page, documental, archive, writ, documents, data file, paper, document, judicial writ, literature, circular, documentation, portfolio, archives, file, written document, papers",2698,3,文件
文明,wénmíng,"civilization, culture",418,3,文明
文学,wénxué,"literary, philology, letters, letter, literature",276,3,文學
文章,wénzhāng,"nonsense, hidden meaning, writing, hidden, written material, article, implied meaning, essay, writings, literary works, patch, hidden/implied meaning",1110,3,文章
文字,wénzì,"writing, phraseology, writing style, language, endearment, script, written language, text, writing phraseology, writing style/phraseology, character, textual, characters, symbolic representation, version, word-sign, literal, letter, word, literalness",313,3,文字
握手,wò shoǔ,to shake hands,346,3,握手
屋子,wūzi5,"room, house",1602,3,屋子
武器,wǔqì,"enginery, steel, arming, armament, weapons system, hardware, armored, armature, munition, weaponry, artillery, implements of war, armory, arms, ammunition, armor, weapon, arm, armoring",3654,3,武器
武术,wǔ shù,"military skill or technique (in former times), all kinds of martial art sports (some claiming spiritual development), self-defense, tradition of choreographed fights from opera and film (recent usage), also called kungfu 功夫, CL:種|种[zhong3]",121,3,武術
舞台,wǔtái,"board, arena, bandstand, stage, proscenium, boards",1911,3,舞台
西部,xībù,"western part, West, westward, west, the west",499,3,西部
希望,xīwàng,"hope, wish",26658,3,希望
系,xì,be,1010,3,係
下来,xiàlái,come down from a higher place,12748,3,下來
下面,xiàmiàn,"next, lower level, underside, following, underneath, subordinate, undersurface",3771,3,下面
下去,xiàqù,"go on, continue, go down, descend, take_up, descent",7767,3,下去
先进,xiānjìn,advance,359,3,先進
显得,xiǎnde,"seem, look, appear",768,3,顯得
显然,xiǎnrán,"evidently, manifestly, clear, visibly, plainly, plain, distinctly, clearly, patently, apparently, obviously",3566,3,顯然
显示,xiǎnshì,"demonstrate, argue, exhibit, prove, display, show, illustrate, manifest, demonstration, announce, stamp, unroll, witness, write, give, evince, dangle, betray, bespeak, say, profess, develop, indicate, signal, flaunt, read, register, manifestation, speak, reveal, evidence, tell, shew, proclaim, discover, stage, bear, establish, record, prognosticate, betoken, note, signalize",1915,3,顯示
现场,xiànchǎng,"scene (of an incident), location, site, locale, scene of a crime, locality, live, scene, spot, field",4917,3,現場
现代,xiàndài,modern,510,3,現代
现金,xiànjīn,"quids, rhino, clink, ready, cash reserve in bank, dough, dust, ducat, kale, cash, blunt, till, ready money",1288,3,現金
现实,xiànshí,"reality, actuality",2223,3,現實
现象,xiànxiàng,"phenomenon, phenomenal, appearance",517,3,現象
线,xiàn,"thread, string, wire",3791,3,線
相比,xiāngbǐ,"liken, equate, compare, comparison",424,3,相比
相当,xiāngdāng,"quite, fairly, considerably",2339,3,相當
相关,xiāngguān,"cognate, relational, interrelate, associated, be interrelated, relevant, related, be mutually related",730,3,相關
相互,xiānghù,"each other, mutually, one another, in return, reciprocally",688,3,相互
相似,xiāngsì,"resemblance, alike, be alike, be similar/alike, match, be similar, resemble",517,3,相似
香,xiāng,"fragrant, scented, savory, appetizing, popular, welcome",981,3,香
香蕉,xiāngjiāo,banana,395,3,香蕉
消费,xiāofèi,expenditure,188,3,消費
消失,xiāoshī,"disappear, vanish, dissolve",3263,3,消失
消息,xiāoxí,"communication, witting, message, item, news, peep, info, intelligence, notice, information, advertisement, tidings, advert, word",8346,3,消息
